period,destination_code,destination_iso,destination,export_value_usd,month,year
202302,710,ZAF,South Africa,90586311.0,2023-02-01,2023
202302,716,ZWE,Zimbabwe,623883.0,2023-02-01,2023
202302,724,ESP,Spain,114935311.0,2023-02-01,2023
202302,728,SSD,South Sudan,1844.0,2023-02-01,2023
202302,729,SDN,Sudan,761996.0,2023-02-01,2023
202302,752,SWE,Sweden,3141422.0,2023-02-01,2023
202302,757,CHE,Switzerland,1680685.0,2023-02-01,2023
202302,760,SYR,Syria,202001.0,2023-02-01,2023
202302,764,THA,Thailand,20312536.0,2023-02-01,2023
202302,780,TTO,Trinidad and Tobago,9636.0,2023-02-01,2023
202302,784,ARE,United Arab Emirates,7417877.0,2023-02-01,2023
202302,788,TUN,Tunisia,519906.0,2023-02-01,2023
202302,792,TUR,Türkiye,11760121.0,2023-02-01,2023
202302,795,TKM,Turkmenistan,37177.0,2023-02-01,2023
202302,800,UGA,Uganda,5513.0,2023-02-01,2023
202302,804,UKR,Ukraine,3755497.0,2023-02-01,2023
202302,807,MKD,North Macedonia,12405.0,2023-02-01,2023
202302,818,EGY,Egypt,665276.0,2023-02-01,2023
202302,826,GBR,United Kingdom,86633628.0,2023-02-01,2023
202302,834,TZA,United Rep. of Tanzania,850473.0,2023-02-01,2023
202302,842,USA,USA,830253723.0,2023-02-01,2023
202302,854,BFA,Burkina Faso,297307.0,2023-02-01,2023
202302,858,URY,Uruguay,801873.0,2023-02-01,2023
202302,860,UZB,Uzbekistan,68756.0,2023-02-01,2023
202302,862,VEN,Venezuela,11238.0,2023-02-01,2023
202302,887,YEM,Yemen,3617.0,2023-02-01,2023
202302,894,ZMB,Zambia,39637.0,2023-02-01,2023
202302,899,_X ,"Areas, nes",308473.0,2023-02-01,2023
202303,8,ALB,Albania,51532.0,2023-03-01,2023
202303,12,DZA,Algeria,50863.0,2023-03-01,2023
202303,20,AND,Andorra,419.0,2023-03-01,2023
202303,24,AGO,Angola,11361.0,2023-03-01,2023
202303,32,ARG,Argentina,4800449.0,2023-03-01,2023
202303,36,AUS,Australia,32305002.0,2023-03-01,2023
202303,40,AUT,Austria,5303457.0,2023-03-01,2023
202303,44,BHS,Bahamas,2559.0,2023-03-01,2023
202303,48,BHR,Bahrain,3906.0,2023-03-01,2023
202303,50,BGD,Bangladesh,11208974.0,2023-03-01,2023
202303,52,BRB,Barbados,57098.0,2023-03-01,2023
202303,56,BEL,Belgium,110580208.0,2023-03-01,2023
202303,64,BTN,Bhutan,146345.0,2023-03-01,2023
202303,68,BOL,Bolivia (Plurinational State of),28221.0,2023-03-01,2023
202303,70,BIH,Bosnia Herzegovina,228.0,2023-03-01,2023
202303,72,BWA,Botswana,315817.0,2023-03-01,2023
202303,76,BRA,Brazil,29052145.0,2023-03-01,2023
202303,84,BLZ,Belize,5240.0,2023-03-01,2023
202303,96,BRN,Brunei Darussalam,162416.0,2023-03-01,2023
202303,100,BGR,Bulgaria,8279909.0,2023-03-01,2023
202303,104,MMR,Myanmar,6745108.0,2023-03-01,2023
202303,108,BDI,Burundi,5527.0,2023-03-01,2023
202303,112,BLR,Belarus,690101.0,2023-03-01,2023
202303,116,KHM,Cambodia,1475240.0,2023-03-01,2023
202303,120,CMR,Cameroon,412897.0,2023-03-01,2023
202303,124,CAN,Canada,17865587.0,2023-03-01,2023
202303,140,CAF,Central African Rep.,5272243.0,2023-03-01,2023
202303,144,LKA,Sri Lanka,575650.0,2023-03-01,2023
202303,152,CHL,Chile,19556422.0,2023-03-01,2023
202303,170,COL,Colombia,3210074.0,2023-03-01,2023
202303,178,COG,Congo,580527.0,2023-03-01,2023
202303,180,COD,Dem. Rep. of the Congo,2231750.0,2023-03-01,2023
202303,184,COK,Cook Isds,45.0,2023-03-01,2023
202303,188,CRI,Costa Rica,238814.0,2023-03-01,2023
202303,191,HRV,Croatia,1421820.0,2023-03-01,2023
202303,192,CUB,Cuba,118679.0,2023-03-01,2023
202303,196,CYP,Cyprus,43501.0,2023-03-01,2023
202303,203,CZE,Czechia,95509387.0,2023-03-01,2023
202303,204,BEN,Benin,1227352.0,2023-03-01,2023
202303,208,DNK,Denmark,3090260.0,2023-03-01,2023
202303,212,DMA,Dominica,6297.0,2023-03-01,2023
202303,214,DOM,Dominican Rep.,241576.0,2023-03-01,2023
202303,218,ECU,Ecuador,165110.0,2023-03-01,2023
202303,222,SLV,El Salvador,18502.0,2023-03-01,2023
202303,226,GNQ,Equatorial Guinea,364556.0,2023-03-01,2023
202303,231,ETH,Ethiopia,241886.0,2023-03-01,2023
202303,233,EST,Estonia,323168.0,2023-03-01,2023
202303,246,FIN,Finland,14169448.0,2023-03-01,2023
202303,251,FRA,France,35340539.0,2023-03-01,2023
202303,258,PYF,French Polynesia,16946.0,2023-03-01,2023
