typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,226,GNQ,Equatorial Guinea,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,4.0,False,0.0,False,,70531.0,70531.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,231,ETH,Ethiopia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3721.0,False,5,u,3721.0,False,87021.0,False,0.0,False,,2867312.0,2867312.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,232,ERI,Eritrea,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,459.0,False,5,u,459.0,False,29835.0,False,0.0,False,,863496.0,863496.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,233,EST,Estonia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,22025.0,False,5,u,22025.0,False,31446.0,False,0.0,False,,988533.0,988533.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,242,FJI,Fiji,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,20.0,False,5,u,20.0,False,8.0,False,0.0,False,,158.0,158.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,246,FIN,Finland,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,179429.0,False,5,u,179429.0,False,1728220.0,False,0.0,False,,49035936.0,49035936.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,251,FRA,France,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1095787.0,False,5,u,1095787.0,False,779776.435,True,0.0,False,,26471198.0,26471198.0,4,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,258,PYF,French Polynesia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,99.0,False,5,u,99.0,False,7125.0,False,0.0,False,,172976.0,172976.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,262,DJI,Djibouti,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,115144.0,False,5,u,115144.0,False,21631.0,False,0.0,False,,262523.0,262523.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,270,GMB,Gambia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,139.0,False,5,u,139.0,False,6182.0,False,0.0,False,,180049.0,180049.0,0,True,False
