opportunity_rank,destination_code,destination,export_2024,monthly_cv_2024,active_month_ratio_2024,h2_h1_momentum_2024,growth_2024,export_2023,H1,H2,log_export_2024,growth_log_ratio,momentum_log_ratio,growth_symmetric_2024,momentum_symmetric_2024,cluster,segment,scale_score,growth_score,momentum_score,activity_score,stability_score,market_scale,growth_momentum,growth_quality,size_score,opportunity_score,market_segment,decision_tier
34,586,Pakistan,147114871.0,0.2574216242327909,1.0,-0.24686087840075058,0.7052382393719367,86272327.0,83915115.0,63199756.0,18.806724281752913,0.5337048260172956,-0.2835053079016667,0.5213871585192946,-0.2816215500063213,1,成熟核心市场,81.7258883248731,69.89795918367348,20.103092783505154,64.54081632653062,92.85714285714286,81.7258883248731,45.17766497461929,78.55329949238578,81.63265306122449,66.36755733221123,成熟核心市场,重点候选
35,400,Jordan,36751296.0,0.6734777777587533,1.0,1.1160479628929505,0.3323104450107983,27584634.0,11794201.0,24957095.0,17.41968407551736,0.28691460274512437,0.7495501357941095,0.28496244633441997,0.716322711449414,1,成熟核心市场,67.51269035532995,62.244897959183675,72.68041237113401,64.54081632653062,63.775510204081634,67.51269035532995,67.25888324873097,64.08629441624365,67.3469387755102,66.32179675994108,成熟核心市场,重点候选
36,384,Côte d'Ivoire,19963323.0,1.223681784545996,1.0,1.3288849424712357,1.495554814125239,7999553.0,5997000.0,13966323.0,16.809407348048634,0.9145109999586118,0.8453894924164,0.8556895220648978,0.7983964393102291,0,加速扩张机会市场,60.40609137055838,81.63265306122449,76.80412371134021,64.54081632653062,37.244897959183675,60.40609137055838,78.93401015228426,50.888324873096444,60.204081632653065,65.8710288239007,高增长机会市场,重点候选
37,344,"China, Hong Kong SAR",1167691542.0,0.14581914051530945,1.0,0.11337319212640382,-0.0833695449599473,1273895642.0,552525009.0,615166533.0,20.87829459657731,-0.08705088129119076,0.10739431880649164,-0.08699595140076719,0.10729121818028892,1,成熟核心市场,94.9238578680203,30.102040816326532,42.2680412371134,64.54081632653062,98.9795918367347,94.9238578680203,36.29441624365482,81.59898477157361,94.89795918367348,65.74952661476962,成熟核心市场,重点候选
38,203,Czechia,546515157.0,0.3735488588812545,1.0,0.6164758818721431,-0.1424144506661286,637271882.0,208874525.0,337640632.0,20.119072601701248,-0.15363433867073084,0.48024839627846916,-0.15333285803951094,0.4712261145942929,1,成熟核心市场,90.35532994923858,26.02040816326531,64.94845360824742,64.54081632653062,83.6734693877551,90.35532994923858,45.431472081218274,73.98477157360406,90.3061224489796,65.59173153797602,成熟核心市场,重点候选
39,496,Mongolia,63852471.0,2.0735050792709235,1.0,34.781695118333396,0.2212635191126177,52283942.0,1735985.0,62116486.0,17.972085855433402,0.1998859907460968,3.577435893156702,0.19922311532042927,1.8912502540426352,0,加速扩张机会市场,76.6497461928934,56.12244897959183,99.48453608247422,64.54081632653062,14.795918367346943,76.6497461928934,77.41116751269035,39.72081218274111,76.53061224489795,65.5601725226173,高增长机会市场,重点候选
40,826,United Kingdom,1630275744.0,0.25895583444520304,1.0,0.04975117985253534,0.0263805819689795,1588373526.0,795352997.0,834922747.0,21.212015006169327,0.02603861554365494,0.04855316445863167,0.026037144457184053,0.04854362845749363,1,成熟核心市场,96.44670050761421,37.755102040816325,34.02061855670103,64.54081632653062,92.34693877551021,96.44670050761421,36.04060913705584,78.2994923857868,96.42857142857143,65.47759309909532,成熟核心市场,重点候选
41,528,Netherlands,2407019653.0,0.21683458755210527,1.0,0.26547601679985366,-0.3387183539837166,3639931136.0,1062478541.0,1344541112.0,21.601655161065068,-0.41357543894444504,0.2354483490652477,-0.4077795656094267,0.23436665392278788,1,成熟核心市场,97.96954314720813,19.387755102040817,51.03092783505154,64.54081632653062,94.89795918367346,97.96954314720813,35.27918781725889,79.56852791878173,97.95918367346938,65.1296549547654,成熟核心市场,重点候选
42,608,Philippines,141528229.0,0.5562573351318517,1.0,0.9065948820000744,0.0659850759318059,132767552.0,48692107.0,92836122.0,18.768009760449385,0.06389932511544671,0.645318856948645,0.06387759205089633,0.6238192240786112,1,成熟核心市场,79.18781725888326,40.30612244897959,69.58762886597938,64.54081632653062,72.95918367346938,79.18781725888326,54.82233502538071,68.65482233502539,79.08163265306123,65.11650536503261,成熟核心市场,重点候选
43,218,Ecuador,8008229.0,1.0808575571200287,1.0,1.962012177594789,1.3116822347623995,3464243.0,2021253.0,5986976.0,15.895980320843467,0.837975335860623,1.0858684993982841,0.7921546463569491,0.9904119874693893,0,加速扩张机会市场,50.25380710659898,79.08163265306123,84.02061855670104,64.54081632653062,46.42857142857143,50.25380710659898,81.21827411167513,55.45685279187818,50.0,64.99289922154429,高增长机会市场,重点候选
44,388,Jamaica,15436726.0,0.5586136675138111,1.0,0.7616292560070572,0.460243901100845,10571334.0,5589717.0,9847009.0,16.552260098224288,0.37860344750168196,0.5662390171355653,0.3741449381460978,0.5515796549086899,1,成熟核心市场,58.37563451776649,66.3265306122449,68.04123711340206,64.54081632653062,71.93877551020408,58.37563451776649,67.00507614213198,68.14720812182742,58.16326530612245,64.88375762676203,成熟核心市场,重点候选
45,531,Curaçao,6846330.0,3.032632718356997,1.0,22.666303979708747,8.605271280416629,712768.0,277558.0,6568772.0,15.739223446304583,2.262310782571742,3.164048812846101,1.6228290729925714,1.8378354534473214,0,加速扩张机会市场,48.223350253807105,94.89795918367348,98.4536082474227,64.54081632653062,4.081632653061234,48.223350253807105,96.19289340101523,34.390862944162436,47.95918367346938,64.86929307805597,高增长机会市场,重点候选
46,694,Sierra Leone,8251574.0,1.0575083114659742,1.0,0.5901015471413715,4.241057920109755,1574410.0,3185811.0,5065763.0,15.925914649180951,1.6565228571366148,0.4637977638312769,1.3590830190645538,0.45565900517889074,0,加速扩张机会市场,50.76142131979695,92.3469387755102,64.43298969072166,64.54081632653062,48.46938775510205,50.76142131979695,78.1725888324873,56.47208121827411,50.51020408163265,64.85088365243004,高增长机会市场,重点候选
47,392,Japan,2327215411.0,0.14018151083315225,1.0,-0.05040000534879839,-0.0407911575507892,2426182191.0,1193688663.0,1133526748.0,21.567938287674043,-0.041646456727061576,-0.05171444127489977,-0.041640438392260545,-0.05170291904705851,1,成熟核心市场,97.46192893401016,33.6734693877551,26.804123711340207,64.54081632653062,99.48979591836735,97.46192893401016,30.45685279187817,81.85279187817258,97.44897959183673,64.39143698716599,成熟核心市场,重点候选
48,324,Guinea,9119939.0,0.846460472987925,1.0,1.5319893094643617,0.6466228118005868,5538572.0,2582097.0,6537842.0,16.025973783081504,0.4987263387652163,0.9290050477761564,0.4886399443981725,0.8674937409120829,0,加速扩张机会市场,52.28426395939086,69.38775510204081,80.41237113402062,64.54081632653062,57.142857142857146,52.28426395939086,74.61928934010152,60.786802030456855,52.04081632653062,64.06716810435515,高增长机会市场,重点候选
49,508,Mozambique,20212467.0,0.5448544955367338,1.0,1.2093790395172261,0.1800662963349373,17128247.0,6297937.0,13914530.0,16.82181019968752,0.16557061132536788,0.7927114115392229,0.1651934132807423,0.7536529806084532,1,成熟核心市场,61.42131979695431,52.04081632653062,74.22680412371135,64.54081632653062,73.46938775510205,61.42131979695431,62.944162436548226,68.90862944162436,61.224489795918366,63.69740164106881,成熟核心市场,重点候选
50,858,Uruguay,11165271.0,0.37038333096765264,1.0,0.43084686123565014,0.484931470047804,7519048.0,4593161.0,6572110.0,16.2283188048047,0.3953685796417261,0.3582664140817453,0.39029766083527045,0.35448293194137426,1,成熟核心市场,53.80710659898477,66.83673469387756,58.76288659793815,64.54081632653062,84.6938775510204,53.80710659898477,62.69035532994924,74.49238578680203,53.57142857142857,63.69135282979172,成熟核心市场,重点候选
